"ID","Email","Height in cms","Weight in kgs"
"1","anonymous","178","85"
"2","anonymous","180.34","81"
"3","anonymous","150","45"
"4","anonymous","175","70"
"5","anonymous","167","60"
"6","anonymous","172","70"
"7","anonymous","177","77"
"8","anonymous","169","52"
"9","anonymous","175","70"
"10","anonymous","170","78"
"11","anonymous","180","70"
"12","anonymous","178","90"
"13","anonymous","173","75"
"14","anonymous","170","72"
"15","anonymous","166","43"
"16","anonymous","171","72"
"17","anonymous","170","80"
"18","anonymous","170","61"
"19","anonymous","172.72","64"
"20","anonymous","170","72"
"21","anonymous","180","74"
"22","anonymous","173","82"
"23","anonymous","165.1","63"
"24","anonymous","160","58"
"25","anonymous","180","60"
"26","anonymous","156","40"
"27","anonymous","180","99"
"28","anonymous","177","60"
"29","anonymous","174","75"
"30","anonymous","176","66"
